scenario,sample_size,s_factor,value_f
chen2,50,50.0,2.27511582345
chen2,50,50.0,1.55731105129
chen2,50,50.0,3.35929910641
chen2,50,50.0,3.63599625371
chen2,50,50.0,1.86816736262
chen2,50,50.0,-2.97756751129
chen2,50,50.0,3.16438144478
chen2,50,50.0,-0.643696929467
chen2,50,50.0,2.31334814526
chen2,50,50.0,2.14327299291
chen2,50,50.0,2.63962050694
chen2,50,50.0,2.88976633161
chen2,50,50.0,3.10127225441
chen2,50,50.0,3.20038684919
chen2,50,50.0,-3.82326221124
chen2,50,50.0,2.03611404271
chen2,50,50.0,2.70767189378
chen2,50,50.0,0.391633860373
chen2,50,50.0,0.679685050156
chen2,50,50.0,0.822133951133
chen2,50,50.0,3.98424791529
chen2,50,50.0,-4.66463204708
chen2,50,50.0,1.89170722602
chen2,50,50.0,0.0277834632849
chen2,50,50.0,-4.94996196501
chen2,50,50.0,2.76657498383
chen2,50,50.0,0.509442372213
chen2,50,50.0,2.14184439778
chen2,50,50.0,3.218698463
chen2,50,50.0,3.9947114839
chen2,50,50.0,2.02204004716
chen2,50,50.0,2.94708552128
chen2,50,50.0,4.28049910229
chen2,50,50.0,3.47925841104
chen2,50,50.0,3.72149675543
chen2,50,50.0,2.98462709127
chen2,50,50.0,3.65102663295
chen2,50,50.0,3.15038678056
chen2,50,50.0,1.76490165396
chen2,50,50.0,3.45521956761
chen2,50,50.0,2.73183730616
chen2,50,50.0,3.05887491002
chen2,50,50.0,3.24839719213
chen2,50,50.0,1.7286273393
chen2,50,50.0,3.14283483934
chen2,50,50.0,-5.2302103594
chen2,50,50.0,2.75582796771
chen2,50,50.0,2.6671695088
chen2,50,50.0,2.76629557824
chen2,50,50.0,2.50640083898
chen2,50,51.0,2.27829497345
chen2,50,51.0,1.57719960323
chen2,50,51.0,3.3605457699
chen2,50,51.0,3.63536822544
chen2,50,51.0,1.88223523093
chen2,50,51.0,-2.94259734466
chen2,50,51.0,3.16726706893
chen2,50,51.0,-0.636023295263
chen2,50,51.0,2.31527088782
chen2,50,51.0,2.14203057701
