,scenario,sample_size,s_factor,value_f
0,chen1,50,0.5,-1.5630762966751346
1,chen1,50,0.5,-21.880905031793546
2,chen1,50,0.5,-20.619623339826255
3,chen1,50,0.5,7.300061590282581
4,chen1,50,0.5,-23.75161642011432
5,chen1,50,0.525,-14.038000666525484
6,chen1,50,0.525,-21.880905031793546
7,chen1,50,0.525,-24.03967846030295
8,chen1,50,0.525,-7.408249695613479
9,chen1,50,0.525,-23.75161642011432
10,chen1,50,0.55,-11.906524033642796
11,chen1,50,0.55,-21.880905031793546
12,chen1,50,0.55,-20.619623339826255
13,chen1,50,0.55,7.183462285368431
14,chen1,50,0.55,-23.75161642011432
15,chen1,50,0.6,-11.688903854345071
16,chen1,50,0.6,-21.880905031793546
17,chen1,50,0.6,-20.619623339826255
18,chen1,50,0.6,7.37113397718219
19,chen1,50,0.6,-23.75161642011432
20,chen1,50,0.7,-11.517581343503776
21,chen1,50,0.7,-21.880905031793546
22,chen1,50,0.7,-20.619623339826255
23,chen1,50,0.7,7.380989260774071
24,chen1,50,0.7,-23.75161642011432
25,chen1,50,0.8,-1.8162344184276171
26,chen1,50,0.8,-21.880905031793546
27,chen1,50,0.8,-20.619623339826255
28,chen1,50,0.8,7.371206943578544
29,chen1,50,0.8,-23.75161642011432
30,chen1,50,0.9,-1.9707151687470157
31,chen1,50,0.9,-21.880905031793546
32,chen1,50,0.9,-20.619623339826255
33,chen1,50,0.9,-12.52803091394203
34,chen1,50,0.9,-23.75161642011432
35,chen1,50,0.99,-10.106012399982722
36,chen1,50,0.99,-21.880905031793546
37,chen1,50,0.99,-20.619623339826255
38,chen1,50,0.99,7.301427352829406
39,chen1,50,0.99,-23.75161642011432
40,chen1,100,0.5,7.702167189741537
41,chen1,100,0.5,7.361269611325442
42,chen1,100,0.5,8.102062152350982
43,chen1,100,0.5,7.763592871983056
44,chen1,100,0.5,7.937798739179706
45,chen1,100,0.525,7.916971174393113
46,chen1,100,0.525,7.36475705937354
47,chen1,100,0.525,8.047136867189893
48,chen1,100,0.525,7.707081056600917
49,chen1,100,0.525,7.934073446545904
50,chen1,100,0.55,7.796397511326838
51,chen1,100,0.55,7.347648505704174
52,chen1,100,0.55,8.10561251871438
53,chen1,100,0.55,7.872548536692198
54,chen1,100,0.55,7.925044287187679
55,chen1,100,0.6,7.666418963963433
56,chen1,100,0.6,7.714586484826592
57,chen1,100,0.6,8.10494052003661
58,chen1,100,0.6,7.850936907498238
59,chen1,100,0.6,7.744384825808459
60,chen1,100,0.7,7.677749885373795
61,chen1,100,0.7,7.3496879762094744
62,chen1,100,0.7,8.104180650783936
63,chen1,100,0.7,7.649282568881304
64,chen1,100,0.7,7.921619976928009
65,chen1,100,0.8,7.692473727385109
66,chen1,100,0.8,7.705699281195331
67,chen1,100,0.8,8.104718470679085
68,chen1,100,0.8,7.888696136279908
69,chen1,100,0.8,7.82965536531256
70,chen1,100,0.9,7.727643753533195
71,chen1,100,0.9,7.89463074425175
72,chen1,100,0.9,8.10266043842346
73,chen1,100,0.9,7.762898599136897
74,chen1,100,0.9,7.921668806168884
75,chen1,100,0.99,7.741060344357686
76,chen1,100,0.99,7.403140085968922
77,chen1,100,0.99,8.097269218322035
78,chen1,100,0.99,7.687753086249972
79,chen1,100,0.99,7.93030299929684
80,chen1,200,0.5,7.553387290852968
81,chen1,200,0.5,7.90847564028663
82,chen1,200,0.5,7.97185253393701
83,chen1,200,0.5,7.998777810052276
84,chen1,200,0.5,7.9756966287704065
85,chen1,200,0.525,7.546690333377594
86,chen1,200,0.525,7.908311195460734
87,chen1,200,0.525,7.986703358228758
88,chen1,200,0.525,7.997936811424265
89,chen1,200,0.525,8.000484558706258
90,chen1,200,0.55,7.562115734936721
91,chen1,200,0.55,7.841618482245033
92,chen1,200,0.55,7.944463474534285
93,chen1,200,0.55,7.999066634672491
94,chen1,200,0.55,7.999603782667867
95,chen1,200,0.6,7.57461181619138
96,chen1,200,0.6,7.908438818115024
97,chen1,200,0.6,8.120041010166542
98,chen1,200,0.6,7.999637979728353
99,chen1,200,0.6,7.98024425292402
100,chen1,200,0.7,7.924127335761912
101,chen1,200,0.7,7.908789715986143
102,chen1,200,0.7,8.12019467094775
103,chen1,200,0.7,7.9977633750167065
104,chen1,200,0.7,8.000141608219351
105,chen1,200,0.8,7.549912700069804
106,chen1,200,0.8,7.907133393753331
107,chen1,200,0.8,7.991701888567277
108,chen1,200,0.8,7.999371965759973
109,chen1,200,0.8,8.000880121323416
110,chen1,200,0.9,7.92288011512733
111,chen1,200,0.9,7.781200709583364
112,chen1,200,0.9,8.120107261028025
113,chen1,200,0.9,7.997102721024466
114,chen1,200,0.9,7.99846997817893
115,chen1,200,0.99,7.6191010850248455
116,chen1,200,0.99,7.90729072931691
117,chen1,200,0.99,8.119973951730938
118,chen1,200,0.99,7.994626001086631
119,chen1,200,0.99,7.997661229465052
120,chen1,400,0.5,7.9237617178867685
121,chen1,400,0.5,7.90839443836979
122,chen1,400,0.5,8.119962238477417
123,chen1,400,0.5,8.004959105268385
124,chen1,400,0.5,8.00153195062627
125,chen1,400,0.525,7.923275258884798
126,chen1,400,0.525,7.9080553376555605
127,chen1,400,0.525,8.11920008913334
128,chen1,400,0.525,8.004527163024774
129,chen1,400,0.525,8.001080513668576
130,chen1,400,0.55,7.92378774610292
131,chen1,400,0.55,7.909760728802794
132,chen1,400,0.55,8.119554727642042
133,chen1,400,0.55,7.994664347422248
134,chen1,400,0.55,8.001712761681974
135,chen1,400,0.6,7.923353801062078
136,chen1,400,0.6,7.909052819617644
137,chen1,400,0.6,8.119666484421542
138,chen1,400,0.6,8.004288934290438
139,chen1,400,0.6,8.001392940810563
140,chen1,400,0.7,7.923889435873802
141,chen1,400,0.7,7.908589538924006
142,chen1,400,0.7,8.11958745350138
143,chen1,400,0.7,7.993764191244766
144,chen1,400,0.7,8.001260445601135
